Image no	Positive distance	Negative distance
8	0.00004732215834	0.00013554013543
9	0.00008871663856	0.00008163986994
10	0.00026651960322	0.00045461625773
11	0.00033212498743	0.00036716788095
12	0.00041169627589	0.00034991476913
13	0.00063513827567	0.00043943592784
14	0.00069792933610	0.00070820855243
15	0.00069211681887	0.00056246363995
16	0.00061809902593	0.00054186525546
17	0.00059377466690	0.00045668022061
18	0.00044713671110	0.00036484694907
19	0.00054139278981	0.00034183195355
20	0.00051425750919	0.00052622188719
21	0.00054302287041	0.00050157110910
22	0.00080852088880	0.00065083900581
23	0.00081980289245	0.00073318890467
24	0.00094372931184	0.00104266405106
25	0.00084002734143	0.00077082285163
26	0.00093348126630	0.00089293094922
27	0.00081860905095	0.00084165400084
28	0.00081530000482	0.00073201353757
29	0.00074451888094	0.00068558608087
30	0.00093556149882	0.00084238126874
31	0.00084039249590	0.00088800261823
32	0.00083141409013	0.00081987025178
33	0.00074429794842	0.00062727042455
34	0.00063290895552	0.00056932433223
35	0.00040456340933	0.00028036825587
36	0.00034214860323	0.00022881358330
37	0.00034924041556	0.00029918865054
38	0.00034185046596	0.00073451716073
39	0.00023008578894	0.00020495971323
40	0.00026679430537	0.00022206594217
41	0.00035825694854	0.00027284714184
42	0.00024807692638	0.00020668245092
43	0.00019746517040	0.00018717413198
44	0.00023721561444	0.00025099998682
45	0.00016474862564	0.00014862058950
46	0.00010439061693	0.00022020829575
47	0.00007437553485	0.00014242653412
48	0.00010426798645	0.00003093218773
49	0.00016711521133	0.00020391874167
50	0.00010820634055	0.00005064679462
51	0.00005349552981	0.00007436333262
52	0.00007666919704	0.00018851898078
53	0.00007002877680	0.00016732006429
54	0.00005585138154	0.00017236059113
55	0.00005395474311	0.00007414012881
56	0.00010742930391	0.00011680269500
57	0.00014805138985	0.00005145991525
58	0.00015892080811	0.00011567144218
59	0.00014539786177	0.00021047114718
60	0.00012116959052	0.00027840367841
61	0.00014395604138	0.00013733022295
62	0.00011106962528	0.00014520304430
