Image no	Positive distance	Negative distance
0	0.006398891916	0.006359681791
1	0.006148091993	0.005790215366
2	0.00618844008	0.005087853694
3	0.005400882692	0.00563677598
4	0.004920801946	0.005642297317
5	0.005171115301	0.005889363435
6	0.004844060966	0.006135527577
7	0.003836414948	0.004618324796
8	0.003205795373	0.005300679985
9	0.004256320851	0.004270036306
10	0.004896081528	0.005108229968
11	0.005337521738	0.005432914106
12	0.00538861265	0.004368291217
13	0.006153479523	0.005884084166
14	0.00644018942	0.00612030528
15	0.006502689147	0.006393757402
16	0.006388648432	0.007238902608
17	0.005780565495	0.006319852508
18	0.006340405162	0.006057270936
19	0.006299696407	0.006236410871
20	0.006253487602	0.006773788102
21	0.006256425867	0.006620320739
22	0.006158736896	0.005476709531
23	0.006741184361	0.00543549961
24	0.00706050104	0.006779712074
25	0.006723894148	0.006982418956
26	0.006929563016	0.006535159082
27	0.007568445741	0.006680939879
28	0.007216741844	0.006459773195
29	0.007513923304	0.007340577184
30	0.007616988858	0.007101746238
31	0.007720761761	0.006949722159
32	0.008102639597	0.007419186587
33	0.007977879777	0.005957688604
34	0.007182863902	0.006589826272
35	0.007825430559	0.006859753205
36	0.007830254277	0.006636571519
37	0.007775357791	0.006754468898
38	0.007929953994	0.006487746628
39	0.007707799576	0.005787542888
40	0.007895174075	0.007240518623
41	0.008083764996	0.007602403359
42	0.007838408558	0.006891085177
43	0.007829855899	0.006998266493
44	0.007654091533	0.007390642044
45	0.007338456353	0.006459132141
46	0.006444368435	0.005528183616
47	0.004720387106	0.005580263478
48	0.004203104243	0.004578076455
49	0.003679365832	0.005264088816
50	0.004589557039	0.00438046942
51	0.004475860267	0.005705795726
52	0.003800203606	0.005252978023
53	0.004264827894	0.004397732567
54	0.004548934345	0.004989558945
55	0.00503507074	0.00465567927
56	0.004974245417	0.00565257851
57	0.00424693981	0.004528442816
58	0.004689019554	0.004799312475
59	0.003582205699	0.00604575325
60	0.003319373544	0.004466855708
61	0.003002300554	0.004199007336
62	0.003077788316	0.005037568662
63	0.002453465395	0.004325341813
