Image no	Positive distance	Negative distance
0	0.007389218832	0.007144540548
1	0.007426323939	0.006964532696
2	0.007032248439	0.005907559881
3	0.005737447617	0.006343895075
4	0.00550583674	0.006288322867
5	0.006421852477	0.00732112904
6	0.005725744427	0.006942072693
7	0.00448152058	0.005509978046
8	0.003671667406	0.005769177359
9	0.004668571511	0.00475051026
10	0.005550339514	0.006025208502
11	0.006437668387	0.00645499935
12	0.006375748284	0.005356961367
13	0.006717183152	0.006489497666
14	0.007207709916	0.006844012105
15	0.007744301339	0.007523794563
16	0.007594888916	0.008150069081
17	0.006666789249	0.007372177377
18	0.007778120892	0.007206697853
19	0.007674793808	0.007404667382
20	0.007300009533	0.00791389115
21	0.007052132062	0.007562316194
22	0.007160014644	0.006426668897
23	0.007402189532	0.0058918498
24	0.007911327542	0.00765948697
25	0.007537607028	0.008236875339
26	0.008377917567	0.007565490445
27	0.009069495055	0.007656851593
28	0.008871187969	0.00741079997
29	0.008594804881	0.008368610119
30	0.008745816289	0.008097600572
31	0.009269594538	0.007667027566
32	0.009168984939	0.008198477784
33	0.008779521499	0.006887344681
34	0.008383603729	0.007212305556
35	0.009097760429	0.007618226567
36	0.008751126576	0.007380005048
37	0.009148329496	0.00745342459
38	0.008655418547	0.007245203062
39	0.008895505448	0.006625998385
40	0.009066314722	0.008320341305
41	0.00910825997	0.008678652802
42	0.008680194008	0.007992032839
43	0.008780886932	0.007749213248
44	0.008718992983	0.007744585981
45	0.008913442188	0.007337121331
46	0.007808566093	0.006268055463
47	0.005390665969	0.006071984768
48	0.004665927011	0.005135386574
49	0.004064091614	0.005712597954
50	0.005093205948	0.0052852363
51	0.005298901577	0.006916086284
52	0.004513666946	0.006095405744
53	0.00500284257	0.00548184952
54	0.005623507256	0.006269555311
55	0.00570149446	0.005800158394
56	0.005430428349	0.006571674225
57	0.004802704162	0.004656999695
58	0.005507615756	0.005757775842
59	0.004128832598	0.007098413852
60	0.003813610393	0.005282198896
61	0.003758117861	0.005093559015
62	0.00321969542	0.005774746136
63	0.002875708804	0.004940623532
