Image no	Positive distance	Negative distance
0	0.008111618003	0.007751967226
1	0.00841830093	0.00773781538
2	0.007670193302	0.006513473939
3	0.006442421553	0.006991921639
4	0.006110333667	0.006311651395
5	0.006863921273	0.007870623652
6	0.006553142046	0.007408065455
7	0.00468418732	0.006094139449
8	0.004089762362	0.006550676969
9	0.005177177337	0.00504319461
10	0.00618361332	0.006641969389
11	0.006911278987	0.006993155698
12	0.007334159953	0.005974523267
13	0.007638186825	0.007314727014
14	0.008173960812	0.007460172687
15	0.008319039734	0.00817809482
16	0.008027847932	0.008822151593
17	0.00749392108	0.00804332811
18	0.008623020381	0.008197001048
19	0.008804060975	0.008638526712
20	0.008018991169	0.009037117569
21	0.00813154785	0.008611272792
22	0.007964275321	0.007163060563
23	0.008518105867	0.00706393074
24	0.008840343174	0.008165487221
25	0.009221646859	0.009654215404
26	0.00920029684	0.008514222442
27	0.01005885796	0.008486834108
28	0.009862246562	0.00843269971
29	0.009783962551	0.009763100926
30	0.009545265412	0.009288484345
31	0.01012856133	0.008674191577
32	0.009953247041	0.009068785882
33	0.009718030083	0.007634522964
34	0.009501143378	0.008286272385
35	0.01009662176	0.008527603685
36	0.009986411552	0.008392670325
37	0.009835588689	0.008153404508
38	0.009669634761	0.007780443649
39	0.009730939354	0.007355662025
40	0.009871583812	0.009280774058
41	0.01026800457	0.0100961437
42	0.009827539629	0.008797803095
43	0.009972878865	0.008779627936
44	0.009406257649	0.008855831866
45	0.009956730264	0.008592802043
46	0.008754373813	0.007069629066
47	0.005909942243	0.006175874447
48	0.005469582519	0.005817771566
49	0.004932668744	0.006258883038
50	0.005880308395	0.006071091915
51	0.005996089809	0.00768498012
52	0.005293425857	0.006873442202
53	0.00601023314	0.00627941623
54	0.00631140507	0.006987714646
55	0.006511427918	0.006589115882
56	0.006194792232	0.007220723191
57	0.005162451948	0.005226032466
58	0.006439597631	0.006663751237
59	0.004465023474	0.007753025512
60	0.003962103506	0.005589440161
61	0.004007667303	0.005806845062
62	0.00390590332	0.006655624935
63	0.003169524122	0.005656968574
