Image no	Positive distance	Negative distance
0	0.008163082356	0.007649109072
1	0.008384500231	0.007650658184
2	0.007954568279	0.006479265739
3	0.006517687014	0.006851379969
4	0.006058556693	0.00711185105
5	0.007102938939	0.00856734052
6	0.00676005288	0.007798927171
7	0.004692959846	0.005912745486
8	0.003838941759	0.006480814243
9	0.004890229021	0.005115561339
10	0.006321321945	0.006641150129
11	0.00718599193	0.007275110605
12	0.007361197958	0.00599071201
13	0.007720422988	0.007584230024
14	0.007761525865	0.007763666766
15	0.008466723622	0.008819797818
16	0.00817986593	0.009343960455
17	0.007287484042	0.008179567906
18	0.008821298273	0.008337155897
19	0.008700354367	0.008554925724
20	0.008543615439	0.008954833357
21	0.007966988549	0.008394414065
22	0.008014169275	0.007027488582
23	0.008487869282	0.006819628939
24	0.008960108368	0.008604181056
25	0.008992350223	0.009722633021
26	0.009560331398	0.008376462119
27	0.01011151075	0.008495260258
28	0.009931447555	0.008530726238
29	0.009918923281	0.00981474166
30	0.01003944022	0.009440831992
31	0.01004817048	0.00880891328
32	0.01019561656	0.00947637339
33	0.0100152529	0.007796945621
34	0.009447445675	0.008378033735
35	0.01008975932	0.008868562932
36	0.01018305275	0.008415900931
37	0.01031661763	0.008518644742
38	0.009922248977	0.007953750844
39	0.01016878534	0.007431010202
40	0.01019381504	0.009487431268
41	0.01041618172	0.01008940534
42	0.01011648774	0.009101505182
43	0.01004735122	0.008683291017
44	0.00985586704	0.009086203818
45	0.01037779146	0.008595074318
46	0.009006393199	0.00699850187
47	0.00593258106	0.006589305036
48	0.005154637658	0.005565362317
49	0.004772496467	0.00640492719
50	0.005850313878	0.006070074378
51	0.006301801424	0.007829894825
52	0.00523589521	0.006983035681
53	0.005781207766	0.006083181926
54	0.006231984314	0.007057041538
55	0.006577665709	0.006312091132
56	0.006095096165	0.007455232192
57	0.005342738969	0.005168439174
58	0.00635464459	0.006603289624
59	0.004418121309	0.007527369018
60	0.003902861658	0.005560647468
61	0.003850659546	0.005428196216
62	0.003473107304	0.006528642713
63	0.003022237092	0.005445787493
