Image no	Positive distance	Negative distance
0	0.008194945296	0.007788048715
1	0.008081333978	0.007729558312
2	0.007861540634	0.006274734833
3	0.006888098863	0.007225294502
4	0.006300915869	0.007210567898
5	0.006833936487	0.007831484688
6	0.006170603694	0.007823343180
7	0.004644269846	0.005607465092
8	0.003747747261	0.006379310574
9	0.005271182985	0.005501384638
10	0.006278344563	0.006668034865
11	0.006906383500	0.007213034192
12	0.006940184807	0.005603197886
13	0.008146866244	0.008050369973
14	0.008039834548	0.007921119126
15	0.008359143929	0.008483337505
16	0.008034114327	0.009195991925
17	0.007181864612	0.008204645040
18	0.008504467959	0.008446259766
19	0.008595979335	0.008495550375
20	0.008521558071	0.008870949551
21	0.007893528257	0.008408932053
22	0.007921841680	0.006900347009
23	0.008459470102	0.007058267691
24	0.008872178744	0.008759706604
25	0.008795469391	0.009426770162
26	0.008939174973	0.008279741419
27	0.009718214979	0.008463275068
28	0.009622496610	0.008452330317
29	0.009758152524	0.009508930907
30	0.010130246075	0.009244743659
31	0.010157173994	0.008977688089
32	0.009900725009	0.008997568671
33	0.009736908334	0.007426322115
34	0.009568388973	0.008499168012
35	0.010092029766	0.008901642902
36	0.010017988633	0.008159838161
37	0.009882763940	0.008089299713
38	0.009700564097	0.007910524096
39	0.009992119001	0.007286281002
40	0.010023094562	0.009496860358
41	0.010083705187	0.009783066049
42	0.009561148833	0.008613040861
43	0.009905032966	0.008684534199
44	0.009856273325	0.009266571123
45	0.009719866879	0.008259302499
46	0.008533253353	0.006815614141
47	0.005762313093	0.006770264129
48	0.005276263977	0.005841534965
49	0.004505853264	0.006378943823
50	0.005740935705	0.005773206146
51	0.005932054958	0.007544977324
52	0.004789085413	0.006561179550
53	0.005232749545	0.005607052725
54	0.006020441955	0.006464351805
55	0.006133778971	0.005947212784
56	0.006191753611	0.007445109134
57	0.005207446157	0.005547577021
58	0.005920470369	0.006188694312
59	0.004632519824	0.007796192656
60	0.004040702265	0.005945556018
61	0.003778864230	0.005573168093
62	0.003531662785	0.006285024541
63	0.003003659905	0.005627049475
